code,name,action,target_weight,factor_set,regime_weight
000029,深深房Ａ,BUY,7.0,mb_v3_combo(V8+Trend+Breakout),0.0
603256,宏和科技,HOLD,1.58,mb_v3_combo(V8+Trend+Breakout),0.0
603929,亚翔集成,HOLD,1.58,mb_v3_combo(V8+Trend+Breakout),0.0
603950,长源东谷,HOLD,1.58,mb_v3_combo(V8+Trend+Breakout),0.0
002290,禾盛新材,HOLD,1.58,mb_v3_combo(V8+Trend+Breakout),0.0
003010,若羽臣,HOLD,1.58,mb_v3_combo(V8+Trend+Breakout),0.0
000833,粤桂股份,HOLD,1.58,mb_v3_combo(V8+Trend+Breakout),0.0
000811,冰轮环境,HOLD,1.58,mb_v3_combo(V8+Trend+Breakout),0.0
603301,振德医疗,HOLD,1.58,mb_v3_combo(V8+Trend+Breakout),0.0
000703,恒逸石化,HOLD,1.58,mb_v3_combo(V8+Trend+Breakout),0.0
600869,远东股份,BUY,1.58,mb_v3_combo(V8+Trend+Breakout),0.0
001896,豫能控股,BUY,1.58,mb_v3_combo(V8+Trend+Breakout),0.0
601208,东材科技,HOLD,1.3,mb_v3_combo(V8+Trend+Breakout),0.0
002545,东方铁塔,HOLD,1.3,mb_v3_combo(V8+Trend+Breakout),0.0
002636,金安国纪,HOLD,1.21,mb_v3_combo(V8+Trend+Breakout),0.0
001309,德明利,HOLD,1.21,mb_v3_combo(V8+Trend+Breakout),0.0
600353,旭光电子,HOLD,1.21,mb_v3_combo(V8+Trend+Breakout),0.0
601869,长飞光纤,HOLD,1.13,mb_v3_combo(V8+Trend+Breakout),0.0
600105,永鼎股份,HOLD,1.13,mb_v3_combo(V8+Trend+Breakout),0.0
603083,剑桥科技,HOLD,1.13,mb_v3_combo(V8+Trend+Breakout),0.0
002281,光迅科技,HOLD,1.13,mb_v3_combo(V8+Trend+Breakout),0.0
001267,汇绿生态,HOLD,1.13,mb_v3_combo(V8+Trend+Breakout),0.0
605376,博迁新材,HOLD,0.78,mb_v3_combo(V8+Trend+Breakout),0.0
000506,招金黄金,HOLD,0.78,mb_v3_combo(V8+Trend+Breakout),0.0
000688,国城矿业,HOLD,0.78,mb_v3_combo(V8+Trend+Breakout),0.0
002378,章源钨业,HOLD,0.78,mb_v3_combo(V8+Trend+Breakout),0.0
002428,云南锗业,HOLD,0.78,mb_v3_combo(V8+Trend+Breakout),0.0
600961,株冶集团,HOLD,0.78,mb_v3_combo(V8+Trend+Breakout),0.0
000603,盛达资源,HOLD,0.78,mb_v3_combo(V8+Trend+Breakout),0.0
001337,四川黄金,HOLD,0.78,mb_v3_combo(V8+Trend+Breakout),0.0
600988,赤峰黄金,HOLD,0.78,mb_v3_combo(V8+Trend+Breakout),0.0
600663,陆家嘴,SELL,0.0,mb_v3_combo(V8+Trend+Breakout),0.0
603156,养元饮品,SELL,0.0,mb_v3_combo(V8+Trend+Breakout),0.0
603039,泛微网络,SELL,0.0,mb_v3_combo(V8+Trend+Breakout),0.0
605599,菜百股份,SELL,0.0,mb_v3_combo(V8+Trend+Breakout),0.0
003035,南网能源,SELL,0.0,mb_v3_combo(V8+Trend+Breakout),0.0
603565,中谷物流,SELL,0.0,mb_v3_combo(V8+Trend+Breakout),0.0
002364,中恒电气,SELL,0.0,mb_v3_combo(V8+Trend+Breakout),0.0
002125,湘潭电化,SELL,0.0,mb_v3_combo(V8+Trend+Breakout),0.0
600737,中粮糖业,SELL,0.0,mb_v3_combo(V8+Trend+Breakout),0.0
